District,Property,PropTag,Area_km2,TenureCode,NT_Por,UTM_Zone,Orient,Scale,Inspected,YearInsp,PrevYear1,PrevYear2,Officer1,Officer2,MapUpdated,Buff_km
Barkly,ADDER,ADR,"1,199",PPL 917,NT Por 232,53,Portrait,"60,000",6/22/2017,2017,2009,0,L. Tait,,12/16/2019,10
Northern Alice Springs,AILERON,ALN,"4,078",PPL 1097,NT Por 703,53,Landscape,"90,000",9/6/2019,2019,2015,0,C. Wallace,R. Bista,9/27/2019,10
Barkly,ALEXANDRIA,AXA,"8,524",PPL 913,"NT Por 601, 7500, 7497 & 1",53,Landscape,"163,000",6/21/2017,2017,2007,0,A. Scott,H. Brink,8/8/2017,10
Southern Alice Springs,ALLAMBI,ALB,"2,651",PPL 1028,NT Por 7517 & 3692,53,Portrait,,7/8/2020,2020,2015,0,D. Mitchell,H. Brink,7/5/2017,10
Barkly,ALROY DOWNS,ARD,"4,384",PPL 985,NT Por 651,53,Landscape,"105,000",6/3/2017,2017,2007,0,L. Tait,,6/5/2018,10
Northern Alice Springs,AMBALINDUM,ALM,"3,317",PPL 1124,NT Por 724 & 1328,53,Landscape,"105,000",8/27/2018,2018,2015,0,C. Wallace,R. Bista,12/11/2018,10
Northern Alice Springs,AMBURLA,AMB,"2,331",PPL 1150,"NT Por 4285, 7537, 7556 & 4443",53,Portrait,,8/14/2019,2019,2015,0,H. Brink,R. Bista,2/9/2018,10
Plenty,AMMAROO,AMO,"3,130",PPL 1105,"NT Por 749, 5163, 7492, 5162 & 1290",53,Portrait,,9/8/2017,2017,2009,0,L. Tait,,8/9/2019,10
Gulf,AMUNGEE MUNGEE,AMG,"3,169",PPL 1100,NT Por 1079,53,Portrait,,10/16/2016,2016,2011,0,D. Hooper,J. Emberg,11/11/2016,10
Southern Alice Springs,ANDADO,ADO,"10,689",PPL 1104,"NT Por 1103, 1104 & 1361",53,Portrait,,5/17/2019,2019,2014,0,C. Wallace,D. Mitchell,10/2/2017,10
Southern Alice Springs,ANGAS DOWNS,AGD,"3,205",PPL 1093,NT Por 620,53,Portrait,,9/6/2019,2019,0,0,D. Mitchell,H. Brink,7/28/2017,10
Northern Alice Springs,ANNINGIE,ANG,"4,428",PPL 1057,NT Por 361,53,Portrait,,7/23/2016,2016,2006,0,L. Tait,,10/5/2016,10
