Parkinsonia aculeata	Parkinsonia
Mimosa pigra	Mimosa
Cenchrus pedicellatus	Mission grass - annual
Hyptis suaveolens	Hyptis
Tamarix aphylla	Athel pine
Calotropis procera	Rubber bush
Jatropha gossypiifolia	Bellyache bush
Ziziphus mauritiana	Chinee apple
Andropogon gayanus	Gamba grass
Mitracarpus hirtus	
Themeda quadrivalvis	Grader grass
Urochloa mutica	Urochloa  - Para grass
Lantana camara	Lantana - common
Leonotis nepetifolia	Lions tail
Eleusine indica	
Prosopis pallida	Mesquite
Vachellia nilotica	Prickly acacia
Senna obtusifolia	Senna - Sicklepod
Eragrostis amabilis	Lovegrass - amabilis
Indigofera tinctoria	
Triumfetta pentandra	
Chloris barbata	
Sida acuta	Sida - Spiny head
Clitoria ternatea	
Echinochloa esculenta	Barnyard grass - esculenta
Cabomba caroliniana	Cabomba
Stylosanthes sp	Stylo sp
Tribulus cistoides	Caltrop - cistoides
Cenchrus sp	Mission grass sp
Dactyloctenium aegyptium	
Melinis repens	Red natal grass
Sida cordifolia	Sida - Flannel weed
Spathodea campanulata	African tulip tree
Cenchrus polystachios	Mission grass - perennial
Passiflora foetida	
Malvastrum americanum	
Cenchrus ciliaris	Buffel grass
Senna occidentalis	Senna - Coffee
Tridax procumbens	
Tamarindus indica	Tamarind
Synedrella nodiflora	
Trianthema portulacastrum	
Peperomia pellucida	
Euphorbia hirta	
Digitaria bicornis	Crab grass - bicornis
Alysicarpus vaginalis	
Hymenachne amplexicaulis	Olive hymenachne
Cyperus sphacelatus	
Azadirachta indica	Neem
Acetosa vesicaria	Ruby dock
Leucaena leucocephala	Coffee bush
Stylosanthes scabra	Stylo shrubby - scabra
Eragrostis barrelieri	Lovegrass - Pitted
Sida sp	Sida sp
Centrosema molle	Centro
Cenchrus echinatus	Mossman river grass
Senna alata	Senna - Candle bush
Stylosanthes hamata	Stylo - caribbean
Stachytarpheta cayennensis	Snake weed - cayennensis
Khaya senegalensis	African mahogany
Paspalum dilatatum	
Gmelina arborea	White teak
Passiflora suberosa	
Echinochloa colona	Barnyard grass - colona
Argemone ochroleuca	Mexican poppy
Cynodon radiatus	
Stylosanthes humilis	Stylo - townsville
Alysicarpus ovalifolius	
Cyperus rotundus	
Stachytarpheta jamaicensis	Snake weed - jamaicensis
Cucumis myriocarpus	
Digitaria ciliaris	Crab grass - Summer grass
Sesamum orientale	Sesame
Cenchrus biflorus	
Conyza bonariensis	
Salvinia molesta	Salvinia
Andrographis paniculata	Chinese bitters
Tribulus terrestris	Caltrop - terrestris
Hibiscus sabdariffa	
Sonchus oleraceus	Sonchus - Sow thistle
Scoparia dulcis	
Chloris gayana	
Stachytarpheta sp	Snake weed sp
Xanthium strumarium	Burr - Noogoora
Evolvulus nummularis	
Dichanthium annulatum	Sheda grass
Cynodon dactylon	Couch grass
Spermacoce articularis	
Mucuna pruriens	Velvet bean¿¿
Alternanthera brasiliana	
Macroptilium atropurpureum	
Solanum nigrum	
Bidens pilosa	Cobblers peg
Opuntia stricta	Prickly pears - stricta
Verbesina encelioides	
Ipomoea quamoclit	Morning glory - quamoclit
Spermacoce remota	
Mangifera indica	
Desmodium tortuosum	
Calopogonium mucunoides	Calopo
Stachytarpheta australis	Snake weed - australis
Ipomoea pes-tigridis	Morning glory - pes-tigridis
Brassica tournefortii	
Gomphrena celosioides	
Euphorbia heterophylla	
Martynia annua	Devils claw
Physalis angulata	
Ruellia tuberosa	
Triumfetta rhomboidea	
Megathyrsus maximus	Guinea grass
Agave attenuata	
Stylosanthes guianensis	Stylo
Echinochloa polystachya	Barnyard grass - Aleman grass
Citrullus colocynthis	
Bothriochloa pertusa	
Aerva javanica	Kapok
Lantana sp	Lantana sp
Eragrostis cilianensis	Lovegrass - cilianensis
Eleutheranthera ruderalis	
Sisymbrium erysimoides	
Senna tora	Senna - tora
Amaranthus viridis	
Acacia farnesiana	Mimosa bush
Acanthospermum hispidum	Burr - Star
Cyperus compressus	
Phyllanthus amarus	
Ipomoea triloba	Morning glory - triloba
Citrullus lanatus	
Axonopus compressus	
Cascabela thevetia	Yellow oleander
Cryptostegia madagascariensis	Rubber vine - Ornamental
Eragrostis tenuifolia	Lovegrass - tenuifolia
Lactuca serriola	
Hyptis capitata	Hyptis - Knob weed
Antigonon leptopus	Coral vine
Crotalaria goreensis	Crotalaria - Gambia pea
Sida rhombifolia	Sida - Paddys lucerne
Euphorbia prostrata	
Chamaecrista rotundifolia	Wynn cassia
Sporobolus sp	Rats tail grass sp
Vicia monantha	
Urochloa humidicola	Urochloa  - Tully grass
Sporobolus africanus	Rats tail grass - Parramatta
Euphorbia cyathophora	
Sorghum almum	
Salvia verbenaca	
Mimosa pudica	Giant sensitive plant - Common
Lolium rigidum	
Urochloa mosambicensis	Urochloa  - Sabi grass
Richardia brasiliensis	
Erodium aureum	
Cryptostegia grandiflora	Rubber vine
Chloris virgata	
Annona reticulata	Custard apple
Ricinus communis	Castor oil plant
Merremia dissecta	Merrimia - dissecta
